Simulación,Secuencia,Peso [kg],V_Inicial_Z [m/s],V_Final_Z [m/s],KE_Inicial [J],KE_Final [J],KE_Abs [J],%KE_Abs [%]
case_0052_TCTTCCCCCCTC,TCTTCCCCCCTC,0.728438,180.5,35.18928527832031,814.50625,30.957144959975267,783.5491050400248,96.19927471888948
case_0053_TCTTCCCCCCCT,TCTTCCCCCCCT,0.728438,180.5,67.807861328125,814.50625,114.94765144735575,699.5585985526443,85.88744390268882
case_0054_TCTCTTCCCCCC,TCTCTTCCCCCC,0.728438,180.5,67.47356414794922,814.50625,113.81704647068545,700.6892035293146,86.02625253388965
case_0055_TCTCTCTCCCCC,TCTCTCTCCCCC,0.728438,180.5,-1.594215750694275,814.50625,0.06353809649404277,814.4427119035059,99.9921991885889
case_0056_TCTCTCCTCCCC,TCTCTCCTCCCC,0.728438,180.5,14.125391960144045,814.50625,4.988167450692551,809.5180825493075,99.38758389506617
case_0057_TCTCTCCCTCCC,TCTCTCCCTCCC,0.728438,180.5,15.542729377746582,814.50625,6.039410912746667,808.4668390872533,99.25851877591526
case_0058_TCTCTCCCCTCC,TCTCTCCCCTCC,0.728438,180.5,77.30567932128906,814.50625,149.40420138314948,665.1020486168505,81.65708349283392
case_0059_TCTCTCCCCCTC,TCTCTCCCCCTC,0.728438,180.5,76.3618392944336,814.50625,145.77826251072256,668.7279874892774,82.10225366463148
case_0060_TCTCTCCCCCCT,TCTCTCCCCCCT,0.728438,180.5,78.82079315185547,814.50625,155.31793582718967,659.1883141728104,80.9310320421495
case_0061_TCTCCTTCCCCC,TCTCCTTCCCCC,0.728438,180.5,57.57721710205078,814.50625,82.87839823041723,731.6278517695828,89.82470690305725
case_0062_TCTCCTCTCCCC,TCTCCTCTCCCC,0.728438,180.5,-0.8351734280586243,814.50625,0.01743786637337985,814.4888121336267,99.99785908746884
case_0063_TCTCCTCCTCCC,TCTCCTCCTCCC,0.728438,180.5,57.45978927612305,814.50625,82.54068459141163,731.9655654085884,89.86616927845408
case_0064_TCTCCTCCCTCC,TCTCCTCCCTCC,0.728438,180.5,4.5366082191467285,814.50625,0.5145203533507413,813.9917296466493,99.93683039837316
case_0065_TCTCCTCCCCTC,TCTCCTCCCCTC,0.728438,180.5,3.834625005722046,814.50625,0.36760872336272005,814.1386412766373,99.95486729250233
case_0066_TCTCCTCCCCCT,TCTCCTCCCCCT,0.728438,180.5,11.10254955291748,814.50625,3.0816651643747037,811.4245848356253,99.62165236124649
case_0067_TCTCCCTTCCCC,TCTCCCTTCCCC,0.728438,180.5,72.57513427734375,814.50625,131.6787528843619,682.8274971156382,83.8333035646612
case_0068_TCTCCCTCTCCC,TCTCCCTCTCCC,0.728438,180.5,17.418434143066406,814.50625,7.585046199908539,806.9212038000915,99.06875531036029
case_0069_TCTCCCTCCTCC,TCTCCCTCCTCC,0.728438,180.5,13.216934204101562,814.50625,4.367183743888745,810.1390662561113,99.46382440357104
case_0070_TCTCCCTCCCTC,TCTCCCTCCCTC,0.728438,180.5,10.008018493652344,814.50625,2.5040108542321833,812.0022391457678,99.69257315653107
case_0071_TCTCCCTCCCCT,TCTCCCTCCCCT,0.728438,180.5,71.67489624023438,814.50625,128.4322687762091,686.073981223791,84.23188664590246
case_0072_TCTCCCCTTCCC,TCTCCCCTTCCC,0.728438,180.5,2.426880121231079,814.50625,0.14724367807066444,814.3590063219293,99.98192233907712
case_0073_TCTCCCCTCTCC,TCTCCCCTCTCC,0.728438,180.5,77.88874053955078,814.50625,151.66639757093654,662.8398524290635,81.37934514671478
case_0074_TCTCCCCTCCTC,TCTCCCCTCCTC,0.728438,180.5,5.085247039794922,814.50625,0.6464934363935755,813.8597565636064,99.92062756591572
case_0075_TCTCCCCTCCCT,TCTCCCCTCCCT,0.728438,180.5,54.24039077758789,814.50625,73.55049979263605,740.955750207364,90.96992812607195
case_0076_TCTCCCCCTTCC,TCTCCCCCTTCC,0.728438,180.5,61.69459915161133,814.50625,95.15558911195004,719.35066088805,88.31738993875737
case_0077_TCTCCCCCTCTC,TCTCCCCCTCTC,0.728438,180.5,36.32710647583008,814.50625,32.99146662265739,781.5147833773426,95.94951338646482
case_0078_TCTCCCCCTCCT,TCTCCCCCTCCT,0.728438,180.5,61.148681640625,814.50625,93.47903165966272,721.0272183403373,88.52322721161897
case_0079_TCTCCCCCCTTC,TCTCCCCCCTTC,0.728438,180.5,75.82075500488281,814.50625,143.71967223776156,670.7865777622385,82.35499454574332
case_0080_TCTCCCCCCTCT,TCTCCCCCCTCT,0.728438,180.5,16.528200149536133,814.50625,6.829535004578156,807.6767149954219,99.16151226530452
case_0081_TCTCCCCCCCTT,TCTCCCCCCCTT,0.728438,180.5,52.84683609008789,814.50625,69.8197021183154,744.6865478816846,91.42797220790935
case_0082_TCCTTTCCCCCC,TCCTTTCCCCCC,0.728438,180.5,64.69465637207031,814.50625,104.63496407750645,709.8712859224936,87.15357137191931
case_0083_TCCTTCTCCCCC,TCCTTCTCCCCC,0.728438,180.5,64.52777099609375,814.50625,104.09583074310795,710.410419256892,87.21976280192963
